_id,Year,BranchCode,CardholderType,Circulation
514,2023,MAL,Teen,9542
431,2023,SI,Child,9221
443,2023,VV,Child,9112
382,2023,GW,Child,8978
418,2023,PL,Child,8971
368,2023,DT,Child,8947
428,2023,SA,Child,8683
433,2023,SL,Child,8461
449,2023,YW,Child,8000
538,2023,RI,Teen,7735
450,2023,AB,Teen,7730
423,2023,QS,Child,7518
467,2023,BRW,Teen,6733
483,2023,EA,Teen,6599
476,2023,DM,Teen,6403
577,2023,BKTWO,Adult,6365
359,2023,CH,Child,6271
559,2023,WS,Teen,6098
436,2023,SW,Child,6023
445,2023,WP,Child,6006
427,2023,RX,Child,5953
451,2023,ACD,Teen,5761
407,2023,MP,Child,5608
372,2023,EG,Child,5567
470,2023,CE,Teen,5486
498,2023,HIL,Teen,5457
346,2023,BC,Child,5277
552,2023,TH,Teen,5274
341,2023,AH,Child,5198
516,2023,MCG,Teen,5167
388,2023,HS,Child,5110
523,2023,ND,Teen,4991
616,2023,IL,Adult,4861
434,2023,SP,Child,4756
593,2023,DS,Adult,4745
465,2023,BL,Teen,4357
504,2023,JD,Teen,4315
350,2023,BKONE,Child,4285
548,2023,ST,Teen,4178
494,2023,GHP,Teen,4160
507,2023,KE,Teen,4097
411,2023,NE,Child,4006
528,2023,PA,Teen,3930
469,2023,CC,Teen,3906
466,2023,BR,Teen,3838
479,2023,DR,Teen,3827
487,2023,EN,Teen,3719
539,2023,RN,Teen,3618
491,2023,FP,Teen,3568
543,2023,SC,Teen,3558
535,2023,PV,Teen,3544
460,2023,BD,Teen,3478
420,2023,PR,Child,3451
440,2023,TOD,Child,3312
475,2023,DA,Teen,3185
477,2023,DO,Teen,3183
522,2023,MS,Teen,3126
458,2023,BB,Teen,3022
497,2023,HC,Teen,2942
530,2023,PK,Teen,2925
521,2023,MRV,Teen,2866
550,2023,SWS,Teen,2843
510,2023,LE,Teen,2823
488,2023,ES,Teen,2788
461,2023,BE,Teen,2735
351,2023,BKTWO,Child,2704
500,2023,HP,Teen,2650
511,2023,LO,Teen,2642
441,2023,TRL,Child,2601
655,2023,SB,Adult,2471
456,2023,AN,Teen,2331
506,2023,JS,Teen,2286
468,2023,BUR,Teen,2284
562,2023,YW,Teen,2258
513,2023,MA,Teen,2207
342,2023,AL,Child,2085
537,2023,RD,Teen,1994
484,2023,EB,Teen,1938
457,2023,AP,Teen,1932
557,2023,WE,Teen,1928
541,2023,SA,Teen,1893
485,2023,EG,Teen,1883
534,2023,PU,Teen,1782
515,2023,MAS,Teen,1747
512,2023,LS,Teen,1737
493,2023,GE,Teen,1694
495,2023,GW,Teen,1665
505,2023,JO,Teen,1654
489,2023,FH,Teen,1619
558,2023,WP,Teen,1561
517,2023,MD,Teen,1558
545,2023,SJ,Teen,1492
474,2023,CS,Teen,1360
554,2023,TRL,Teen,1338
531,2023,PL,Teen,1329
478,2023,DP,Teen,1324
532,2023,PM,Teen,1314
482,2023,DU,Teen,1293
560,2023,WY,Teen,1174
490,2023,FO,Teen,1171
533,2023,PR,Teen,1103
519,2023,MI,Teen,1071
524,2023,NE,Teen,1008
525,2023,NT,Teen,935
459,2023,BC,Teen,927
496,2023,HB,Teen,922
508,2023,LB,Teen,905
527,2023,OV,Teen,822
556,2023,VV,Teen,818
502,2023,HW,Teen,796
540,2023,RX,Teen,758
544,2023,SI,Teen,758
501,2023,HS,Teen,751
551,2023,TA,Teen,702
452,2023,AD,Teen,647
546,2023,SL,Teen,638
454,2023,AH,Teen,603
529,2023,PE,Teen,474
481,2023,DT,Teen,472
561,2023,YO,Teen,382
547,2023,SP,Teen,359
520,2023,MP,Teen,317
455,2023,AL,Teen,309
463,2023,BKONE,Teen,296
367,2023,DS,Child,252
536,2023,QS,Teen,246
472,2023,CH,Teen,224
553,2023,TOD,Teen,203
464,2023,BKTWO,Teen,185
549,2023,SW,Teen,119
639,2023,OS,Adult,106
